baseline_trainable_loss,baseline_trainable_lrap,baseline_trainable_ndcg,baseline_fixed_loss,baseline_fixed_lrap,baseline_fixed_ndcg,infused_trainable_loss,infused_trainable_lrap,infused_trainable_ndcg,infused_fixed_loss,infused_fixed_lrap,infused_fixed_ndcg
2.1945629365454415,0.7780029520257625,0.832110573748227,2.218550937881797,0.7792996369435135,0.8321122174573192,3.0353620922104994,0.7669934457264183,0.8235282542208636,4.422816900736272,0.7805370371946528,0.8323997945778775
2.1552640409428676,0.7781055696103052,0.8318379180931078,2.2608137847016296,0.7870766979219954,0.8378934093467458,2.2419832448590977,0.7769984019046823,0.8303621969599241,3.6409019400633458,0.7752918598237024,0.8280645177646008
2.069540320547865,0.7917690333146292,0.8426402440922072,2.140614754140633,0.7876526786451746,0.8396709370164441,3.4527963179887107,0.7762120194492802,0.8302107806289335,2.6568109794747676,0.7761853958915114,0.830299439057749
2.2545446919780945,0.788734476577791,0.841126314201891,2.4240624945562796,0.7904880302664593,0.8420133320633785,2.7668774537262486,0.7787863512693057,0.8323087751674398,3.128920479393824,0.7701330699939777,0.8255823727643689
2.191465887388958,0.7810501427555931,0.8350209340777269,2.2234773298189876,0.7916190376211794,0.8425013243053335,4.173525310892916,0.7740701838613184,0.826937286031768,3.301996389683736,0.7691317635847384,0.8231965325333132
2.2285432140202994,0.7793093735577937,0.8332882053709288,2.211489127940886,0.7785476309502638,0.8315677283701547,3.7000135311241316,0.7643623609313558,0.8205958269115375,4.484984125702166,0.7814028282759232,0.8331585645322994
2.153524582989738,0.7803866756835032,0.8332265907369607,2.143237631720023,0.7868542921381034,0.8376512905923235,2.365451817860419,0.7738583208135049,0.8277090128473291,4.838991996044765,0.7733976954081674,0.826758383736656
1.9882033874036928,0.7969954590755864,0.8474484840680802,2.118628002543306,0.7882900972137019,0.8400512035938635,6.442318431297597,0.7780366479580693,0.8313250651932725,2.5273522041386287,0.7774487469139257,0.8313500018481347
2.2042819706667136,0.7915886508288899,0.8429740321588799,2.320860200685493,0.7893973304777078,0.840582570164407,2.939947451644701,0.7772314413023784,0.8308239812324529,2.5551680587392,0.7686041016412273,0.8258321891014992
2.1263270500903477,0.7843067755304162,0.8362866043790541,2.2315331190952414,0.7900487373462917,0.8408122574110632,3.9804897359512394,0.7748389044887742,0.8278057040577775,3.106088587142879,0.7673292953426112,0.8212970590833556
